inchhpc_std;age_std;educ_std;white;male;ideo_std;ptyid7;ptyid;treat;cue;cueg;y;popmin;popmul;popadd
-0.6487290167708758;1.267369254932153;0.8525931113872508;1;1;-1.7414756787621297;-3;Democrat;Control (Anti-populist Message);Anti-populist Message;Control;1;-1.0280846956369953;0.16679797668311538;-1.4556878584867485
0.16253003365385923;-0.5047468313794338;0.8525931113872508;1;0;0.9257027675798697;-3;Democrat;Control (Anti-populist Message);Anti-populist Message;Control;1;-0.4195098095509797;0.2661980105263234;0.34297545247987954
0.16252462536835544;1.562721935984084;1.507727495002589;1;1;0.2589081559943698;2;Republican;Biden (Anti-populist Message);Anti-populist Message;Biden;0;-2.2259461781594565;0.07215548884213047;-3.058987576991713
1.5145960013153947;-0.8000995124313649;-0.4576756558434255;1;1;1.5924973791653694;3;Republican;Trump (Populist Message);Populist Message;Trump;1;-0.612612143221181;0.20856919900923301;-0.4124590451587803
-0.3242318865435863;1.267369254932153;1.507727495002589;1;1;-0.7412837613838799;-1;Independent;Control (Populist Message);Populist Message;Control;1;-0.2456957655303482;0.2914198788564343;0.8362282421424965
-0.4323802901057373;-1.4498754107456135;0.8525931113872508;1;1;1.5924973791653694;-3;Democrat;Biden (Anti-populist Message);Anti-populist Message;Biden;1;0.057518692843647905;0.34643263282488773;1.2538570760508887
6.382042138153729;1.562721935984084;1.507727495002589;1;1;1.5924973791653694;3;Republican;Biden (Anti-populist Message);Anti-populist Message;Biden;0;-0.5933238535716112;0.26739079082630623;0.4895108051438039
-0.540552490124105;0.6766638928282908;0.19745872777191265;1;1;-0.07448914979838016;2;Republican;Control (Anti-populist Message);Anti-populist Message;Control;1;-1.7311625477858361;0.11359112746488072;-0.5207669322825947
-0.5135056543196604;-0.8000995124313649;0.8525931113872508;1;1;-1.0746810671766298;-2;Democrat;Trump (Anti-populist Message);Anti-populist Message;Trump;1;-0.23893394525757453;0.217609253809909;-0.4132627813779197
2.5962422855020186;1.562721935984084;0.8525931113872508;1;1;1.5924973791653694;1;Independent;Control (Populist Message);Populist Message;Control;1;-0.5573785377342687;0.39287784129044934;1.9441530227116943
-0.28816222775698846;0.38131121177635957;0.19745872777191265;1;1;0.5923054617871196;1;Independent;Trump (Populist Message);Populist Message;Trump;1;0.3215402667493915;0.41068494637973396;2.5559833207544624
1.5145851847443872;0.08595853072442845;0.19745872777191265;0;1;-0.07448914979838016;-2;Democrat;Control (Anti-populist Message);Anti-populist Message;Control;1;-1.0280846956369953;0.21721517658712605;-0.7967867399886763
-0.3242318865435863;0.6766638928282908;-1.1128100394587637;1;1;;-3;Democrat;Trump (Populist Message);Populist Message;Trump;1;-1.742116773912212;0.13896218365030538;0.7164465773563362
0.7033531757471712;0.9720165738802219;0.8525931113872508;1;1;1.5924973791653694;3;Republican;Biden (Populist Message);Populist Message;Biden;0;-1.2211870293071965;0.20436137595910125;-0.012499818899812831
-0.9268508714153967;2.1534272980879465;-1.1128100394587637;1;1;1.5924973791653694;3;Republican;Biden (Anti-populist Message);Anti-populist Message;Biden;0;0.7603837409234532;0.44495135326809493;2.643296840199595
-0.7388490808823325;-1.4498754107456135;-1.1128100394587637;1;1;0.5923054617871196;2;Republican;Trump (Populist Message);Populist Message;Trump;1;-0.6013624464852131;0.24943080028206666;0.24835615589627133
-0.3242318865435863;1.267369254932153;0.19745872777191265;1;1;1.5924973791653694;1;Independent;Control (Populist Message);Populist Message;Control;1;0.738391786547981;0.7533166500928437;5.206223293126609
-0.3242318865435863;0.08595853072442845;-1.1128100394587637;0;1;-0.7412837613838799;-2;Democrat;Control (Anti-populist Message);Anti-populist Message;Control;1;-0.7107435791026956;0.23612065437504903;0.8975863776846543
-1.1354530789697947;-1.4498754107456135;-1.1128100394587637;0;0;;0;Independent;Control (Anti-populist Message);Anti-populist Message;Control;1;-1.0087964059874255;0.21300488974165377;-0.6068348409763435
;-0.8000995124313649;0.19745872777191265;0;1;;0;Independent;Control (Anti-populist Message);Anti-populist Message;Control;1;-0.8542706516163636;0.23630298659753246;-0.45170709291016387
0.16252462536835544;-0.8000995124313649;-0.4576756558434255;0;1;;0;Independent;Biden (Populist Message);Populist Message;Biden;1;-1.7368213938359582;0.15068554630157352;-2.0840536229343645
-0.540552490124105;0.08595853072442845;-1.1128100394587637;1;1;-0.07448914979838016;0;Independent;Biden (Populist Message);Populist Message;Biden;1;-1.2309966385280713;0.10196007246082156;-2.5425359101050438
0.16252462536835544;-0.8000995124313649;0.8525931113872508;1;1;0.2589081559943698;0;Independent;Control (Populist Message);Populist Message;Control;1;-2.7625357425953525;0.0;-1.5521401270921111
-0.6487290167708758;1.267369254932153;-0.4576756558434255;1;1;1.5924973791653694;3;Republican;Control (Populist Message);Populist Message;Control;1;0.7603837409234532;0.5065528617810019;3.1425520984147894
